"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.559201667E-1,8.480701447E-1,-4.552017975E1,4.761444092E0,4.577638405E1
6.659091667E-1,6.757946014E-1,-4.557611847E1,4.960266113E0,4.585022915E1
6.758981667E-1,7.281188965E-1,-4.541938019E1,5.367218018E0,4.574119897E1
6.858861667E-1,7.985839844E-1,-4.548363876E1,5.824600220E0,4.586202241E1
6.958751667E-1,7.930107117E-1,-4.530195618E1,6.424682617E0,4.576213114E1
7.058641667E-1,6.344184875E-1,-4.529092026E1,6.419769287E0,4.574804239E1
7.158531667E-1,5.340137482E-1,-4.517335892E1,6.687942505E0,4.566887454E1
7.258421667E-1,5.340137482E-1,-4.517335892E1,6.687942505E0,4.566887454E1
7.358311667E-1,4.811172485E-1,-4.524720383E1,7.006866455E0,4.578905006E1
7.458201667E-1,3.282814026E-1,-4.510425949E1,7.354652405E0,4.570112586E1
7.558091667E-1,2.634849548E-1,-4.522725677E1,7.456855774E0,4.583861776E1
7.657981667E-1,2.499217987E-1,-4.520153427E1,7.547142029E0,4.582794469E1
7.757861667E-1,1.795940399E-1,-4.534854507E1,7.690742493E0,4.599641632E1
7.857751667E-1,8.417129517E-2,-4.517654037E1,7.517768860E0,4.579785730E1
7.957641667E-1,-2.164230347E-1,-4.518254852E1,7.689987183E0,4.583279866E1
8.057531667E-1,-9.313011169E-2,-4.513695145E1,7.818351746E0,4.580916593E1
8.157421667E-1,-1.146392822E-1,-4.536563110E1,7.845718384E0,4.603921073E1
8.257311667E-1,-7.354927063E-2,-4.526613617E1,8.158172607E0,4.599548101E1
8.357201667E-1,-1.102561951E-1,-4.522964096E1,8.308975220E0,4.598664640E1
8.457091667E-1,-1.330490112E-1,-4.515496826E1,8.233520508E0,4.589967016E1
8.556981667E-1,-2.362289429E-1,-4.519256592E1,8.534324646E0,4.599193968E1
8.656861667E-1,-1.501598358E-1,-4.511956406E1,8.697898865E0,4.595052832E1
8.756751667E-1,-3.082656860E-1,-4.516769791E1,8.867118835E0,4.603087831E1
8.856641666E-1,-5.161094666E-2,-4.510564041E1,8.639511108E0,4.592562044E1
8.956531667E-1,-2.218170166E-1,-4.518816376E1,8.620513916E0,4.600361515E1
9.056421667E-1,-2.073860168E-1,-4.505722809E1,8.581405640E0,4.586760659E1
9.156311667E-1,-1.625041962E-1,-4.515459442E1,8.595222473E0,4.596565734E1
9.256201667E-1,-3.557205200E-2,-4.526713181E1,8.569900513E0,4.607122401E1
9.356091667E-1,-9.236335754E-2,-4.517459869E1,8.729995728E0,4.601049580E1
9.455981667E-1,-2.038116455E-1,-4.493078613E1,8.876052856E0,4.579957856E1
9.555861667E-1,-2.445468903E-1,-4.511935043E1,9.061691284E0,4.602097169E1
9.655751667E-1,-1.465873718E-1,-4.489592361E1,9.074150085E0,4.580399158E1
9.755641667E-1,-2.292003632E-1,-4.501875687E1,8.968452454E0,4.590396652E1
9.855531667E-1,-2.824039459E-1,-4.481652451E1,9.208518982E0,4.575366043E1
9.955421667E-1,-3.447799683E-1,-4.492153931E1,9.034446716E0,4.582231765E1
1.005531167E0,-4.877605438E-1,-4.475897980E1,9.060157776E0,4.566936218E1
1.015520167E0,-3.077983856E-1,-4.484777451E1,9.403129578E0,4.582397259E1
1.025509167E0,-1.015930176E-1,-4.493899155E1,9.456085205E0,4.592320579E1
1.035498167E0,-6.795883179E-2,-4.502039337E1,9.550880432E0,4.602238319E1
1.045486167E0,2.909469604E-2,-4.505478287E1,9.345466614E0,4.601382457E1
1.055475167E0,2.159156799E-1,-4.511073685E1,9.222068787E0,4.604423689E1
