"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.453923333E-1,2.263958549E1,-1.219322300E1,-3.406122589E1,4.267777674E1
7.553803333E-1,2.264261627E1,-1.267901134E1,-3.395998383E1,4.274021411E1
7.653693333E-1,2.236161613E1,-1.306412411E1,-3.369103241E1,4.249469237E1
7.753573333E-1,2.235563660E1,-1.372149658E1,-3.331740570E1,4.240405026E1
7.853453333E-1,2.218145943E1,-1.439065361E1,-3.333974457E1,4.255169352E1
7.953333333E-1,2.208112717E1,-1.501299286E1,-3.308332062E1,4.251437680E1
8.053213333E-1,2.178625488E1,-1.566592407E1,-3.286981964E1,4.243214727E1
8.153093333E-1,2.181546783E1,-1.624128151E1,-3.259672546E1,4.245280171E1
8.252973333E-1,2.161044502E1,-1.673978043E1,-3.274363708E1,4.265415985E1
8.352853333E-1,2.173704338E1,-1.701111031E1,-3.252737427E1,4.266036809E1
8.452733333E-1,2.172841644E1,-1.725341606E1,-3.214419556E1,4.246238047E1
8.552613333E-1,2.181312370E1,-1.745268440E1,-3.211301422E1,4.256353182E1
8.652493333E-1,2.186027718E1,-1.760886955E1,-3.192942047E1,4.251390239E1
8.752373333E-1,2.199117470E1,-1.757937622E1,-3.188373566E1,4.253491310E1
8.852253333E-1,2.223088837E1,-1.754616928E1,-3.147830963E1,4.234341072E1
8.952143333E-1,2.243798637E1,-1.760450745E1,-3.147467804E1,4.247395994E1
9.052023333E-1,2.281747627E1,-1.789630318E1,-3.095981598E1,4.241963103E1
9.151903333E-1,2.299444962E1,-1.806677628E1,-3.065445709E1,4.236565658E1
9.251783333E-1,2.310343742E1,-1.841138077E1,-3.027747345E1,4.230216497E1
9.351663333E-1,2.341014099E1,-1.887964821E1,-3.015382385E1,4.258789629E1
9.451543333E-1,2.349217987E1,-1.910858154E1,-2.968408203E1,4.240477720E1
9.551423333E-1,2.371805191E1,-1.932396317E1,-2.916189575E1,4.226556166E1
9.651303333E-1,2.399910736E1,-1.961977196E1,-2.900758362E1,4.245388690E1
9.751183333E-1,2.433066750E1,-2.009049034E1,-2.859413147E1,4.258208000E1
9.851063333E-1,2.452240753E1,-2.049647713E1,-2.834020996E1,4.271558903E1
9.950943333E-1,2.470850372E1,-2.060031319E1,-2.789010620E1,4.257629720E1
1.005082333E0,2.488491821E1,-2.094846153E1,-2.771170044E1,4.273213704E1
1.015070333E0,2.500691986E1,-2.102531242E1,-2.713086700E1,4.246756112E1
1.025059333E0,2.502978706E1,-2.112374687E1,-2.705678558E1,4.248261490E1
1.035047333E0,2.518350983E1,-2.122447395E1,-2.672388458E1,4.241289272E1
1.045035333E0,2.518786430E1,-2.162394905E1,-2.665872955E1,4.257595028E1
1.055023333E0,2.526093102E1,-2.164605522E1,-2.631525421E1,4.241649380E1
1.065011333E0,2.526093102E1,-2.164605522E1,-2.631525421E1,4.241649380E1
1.074999333E0,2.537067795E1,-2.202155304E1,-2.606381226E1,4.251990601E1
1.084987333E0,2.530404663E1,-2.209894943E1,-2.593907166E1,4.244400759E1
1.094975333E0,2.525368881E1,-2.223631668E1,-2.573867035E1,4.236368409E1
1.104963583E0,2.542000580E1,-2.247600555E1,-2.568211365E1,4.255488787E1
1.114951583E0,2.534179497E1,-2.279773712E1,-2.536130524E1,4.248692968E1
1.124939583E0,2.553807449E1,-2.307363129E1,-2.527093506E1,4.269901484E1
1.134927583E0,2.545094490E1,-2.319108582E1,-2.519071960E1,4.266320911E1
1.144915583E0,2.551753235E1,-2.324736404E1,-2.502091980E1,4.263368175E1
1.154904583E0,2.525870323E1,-2.346491241E1,-2.506462860E1,4.262440393E1
1.164892583E0,2.528817177E1,-2.344596481E1,-2.503581238E1,4.261451395E1
1.174880583E0,2.515722656E1,-2.367613983E1,-2.488286591E1,4.257467159E1
1.184868583E0,2.509988403E1,-2.377638245E1,-2.483989716E1,4.257159888E1
1.194856583E0,2.495307541E1,-2.383958435E1,-2.488067627E1,4.254444507E1
1.204844583E0,2.497162437E1,-2.393402863E1,-2.475511169E1,4.253510674E1
1.214832583E0,2.482282448E1,-2.428956604E1,-2.471045685E1,4.262349483E1
1.224820583E0,2.471304703E1,-2.436570358E1,-2.440902710E1,4.242903261E1
1.234808583E0,2.462766647E1,-2.461771965E1,-2.436481476E1,4.249939147E1
1.244796583E0,2.457107544E1,-2.464108467E1,-2.408052063E1,4.231775367E1
1.254784583E0,2.445202065E1,-2.488591194E1,-2.409882355E1,4.240239643E1
1.264772583E0,2.446772766E1,-2.506696892E1,-2.387431335E1,4.239110126E1
1.274760583E0,2.445346642E1,-2.550364494E1,-2.377818298E1,4.258884726E1
1.284748583E0,2.438872528E1,-2.575950050E1,-2.357138824E1,4.259075170E1
1.294737583E0,2.435579109E1,-2.612318993E1,-2.331606293E1,4.265283580E1
1.304725583E0,2.445119476E1,-2.616808891E1,-2.304388428E1,4.258697460E1
1.314713583E0,2.431805801E1,-2.654382515E1,-2.272788239E1,4.257345695E1
1.324701583E0,2.432464790E1,-2.672740364E1,-2.257340240E1,4.260987089E1
1.334689583E0,2.424230766E1,-2.713512230E1,-2.238752747E1,4.272242654E1
