"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.285969579E1,4.133755282E1,1.982141538E1,1.207873421E2,1.616053060E2,0.000000000E0,NaN,3.535102767E-1,6.613244015E0,3.000000000E0,-1.000000000E0
3.385975099E1,4.133755276E1,1.982141529E1,1.207873421E2,1.616053053E2,0.000000000E0,NaN,3.535226916E-1,6.609852593E0,3.000000000E0,-1.000000000E0
3.485980356E1,4.133755269E1,1.982141517E1,1.207873421E2,1.616053043E2,0.000000000E0,NaN,3.535336879E-1,6.605704150E0,3.000000000E0,-1.000000000E0
3.585985303E1,4.133755262E1,1.982141507E1,1.207873421E2,1.616053035E2,0.000000000E0,NaN,3.554756271E-1,6.602028402E0,3.000000000E0,-1.000000000E0
3.685990155E1,4.133756005E1,1.982139402E1,1.234788245E2,1.642967009E2,2.412830224E-1,NaN,3.555871592E-1,6.180474793E0,7.452935520E0,-1.000000000E0
3.785994685E1,4.133755949E1,1.982139292E1,1.232687690E2,1.640866370E2,7.187418828E-2,NaN,3.559265420E-1,6.180483093E0,7.538775673E0,-1.000000000E0
3.885999036E1,4.133755963E1,1.982139698E1,1.238985235E2,1.647164144E2,2.137486048E-1,NaN,3.561424180E-1,6.180491404E0,7.637671159E0,-1.000000000E0
3.986003101E1,4.133755860E1,1.982139918E1,1.242048120E2,1.650227107E2,2.450778292E-1,NaN,3.563039715E-1,6.180499620E0,7.782140323E0,-1.000000000E0
4.086007023E1,4.133755714E1,1.982139908E1,1.240571527E2,1.648750449E2,1.813754602E-1,NaN,3.563701012E-1,6.180507752E0,7.769815715E0,-1.000000000E0
4.186010897E1,4.133755743E1,1.982139977E1,1.242471145E2,1.650650116E2,1.362914144E-1,NaN,3.565820082E-1,6.180516022E0,7.860043003E0,-1.000000000E0
4.286014533E1,4.133755758E1,1.982139724E1,1.239620034E2,1.647798872E2,9.102297607E-2,NaN,3.566780347E-1,6.180524320E0,7.830704290E0,-1.000000000E0
4.386017966E1,4.133755793E1,1.982139829E1,1.239739419E2,1.647918329E2,2.213079197E-1,NaN,3.568908449E-1,6.180469952E0,7.698386123E0,-1.000000000E0
4.486021376E1,4.133755668E1,1.982139635E1,1.234633219E2,1.642811972E2,4.625522070E-1,NaN,3.570337840E-1,6.180478116E0,7.633873195E0,-1.000000000E0
4.586024630E1,4.133755555E1,1.982139553E1,1.229305549E2,1.637484210E2,1.860362133E-1,NaN,3.570626470E-1,6.180486323E0,7.531151899E0,-1.000000000E0
4.686027646E1,4.133755569E1,1.982139583E1,1.230947791E2,1.639126473E2,2.887707093E-1,NaN,3.572345214E-1,6.180494463E0,7.541963462E0,-1.000000000E0
4.786030662E1,4.133755619E1,1.982139388E1,1.229324823E2,1.637503419E2,1.740843321E-1,NaN,3.573678905E-1,6.180502519E0,7.655598324E0,-1.000000000E0
4.886033535E1,4.133755717E1,1.982139297E1,1.228812235E2,1.636990822E2,1.262241918E-1,NaN,3.573859420E-1,6.180510752E0,7.693197675E0,-1.000000000E0
4.986036897E1,4.133755733E1,1.982139300E1,1.229992330E2,1.638170926E2,1.549761567E-1,NaN,3.575041924E-1,6.180519017E0,7.667565273E0,-1.000000000E0
5.086039054E1,4.133755627E1,1.982139312E1,1.228835399E2,1.637013956E2,9.699990659E-2,NaN,3.575503755E-1,6.180527319E0,7.709209679E0,-1.000000000E0
5.186041653E1,4.133755651E1,1.982139357E1,1.230387475E2,1.638566067E2,5.308828395E-2,NaN,3.576812874E-1,6.180535583E0,7.724108797E0,-1.000000000E0
5.286044097E1,4.133755582E1,1.982139485E1,1.233266186E2,1.641444820E2,4.998406753E-2,NaN,3.578725873E-1,6.180543759E0,7.758125750E0,-1.000000000E0
5.386046505E1,4.133755497E1,1.982139286E1,1.229468684E2,1.637647174E2,9.881277080E-2,NaN,3.579401123E-1,6.180551898E0,7.700867642E0,-1.000000000E0
5.486048996E1,4.133755477E1,1.982139363E1,1.231852614E2,1.640031138E2,2.456733971E-2,NaN,3.581174795E-1,6.180560044E0,7.740985251E0,-1.000000000E0
5.586051226E1,4.133755408E1,1.982139171E1,1.228743281E2,1.636921671E2,2.940427396E-1,NaN,3.582551486E-1,6.180568210E0,7.663080028E0,-1.000000000E0
5.686053503E1,4.133755527E1,1.982139220E1,1.231205229E2,1.639383695E2,1.025091281E-1,NaN,3.584461079E-1,6.180576367E0,7.703215656E0,-1.000000000E0
5.786055684E1,4.133755379E1,1.982139103E1,1.228254363E2,1.636432703E2,4.426852261E-1,NaN,3.584932914E-1,6.180584404E0,7.620634954E0,-1.000000000E0
5.886057734E1,4.133755364E1,1.982139155E1,1.228599029E2,1.636777391E2,1.070614524E-1,NaN,3.586930169E-1,6.180592551E0,7.636521034E0,-1.000000000E0
5.986059856E1,4.133755384E1,1.982138918E1,1.223672327E2,1.631850568E2,1.599904337E-1,NaN,3.587073001E-1,6.180600707E0,7.657967743E0,-1.000000000E0
6.086061788E1,4.133755380E1,1.982138934E1,1.223166775E2,1.631345022E2,1.491742955E-1,NaN,3.590389522E-1,6.180608840E0,7.684073914E0,-1.000000000E0
6.186063766E1,4.133755487E1,1.982139305E1,1.231477704E2,1.639656200E2,1.310972339E-1,NaN,3.591678086E-1,6.180617011E0,7.755542531E0,-1.000000000E0
6.286065733E1,4.133755384E1,1.982139232E1,1.228634224E2,1.636812638E2,3.208312788E-1,NaN,3.592027547E-1,6.180625212E0,7.605401217E0,-1.000000000E0
6.386067629E1,4.133755416E1,1.982139235E1,1.227411216E2,1.635589644E2,4.947758186E-2,NaN,3.593077051E-1,6.180633473E0,7.538210805E0,-1.000000000E0
6.486069465E1,4.133755382E1,1.982139118E1,1.224740377E2,1.632918727E2,7.298005111E-2,NaN,3.594896002E-1,6.180641646E0,7.548123962E0,-1.000000000E0
6.586071289E1,4.133755356E1,1.982139333E1,1.229090410E2,1.637268866E2,2.672647353E-1,NaN,3.597141886E-1,6.180649765E0,7.430569690E0,-1.000000000E0
6.686073077E1,4.133755318E1,1.982139597E1,1.231282849E2,1.639461436E2,1.804841702E-1,NaN,3.601131253E-1,6.180657896E0,7.458715844E0,-1.000000000E0
6.786074781E1,4.133754976E1,1.982139456E1,1.225624553E2,1.633802920E2,7.029651359E-1,2.008034377E2,3.615715052E-1,6.180666022E0,7.402761739E0,-1.000000000E0
6.886076581E1,4.133755462E1,1.982141078E1,1.223475769E2,1.631655230E2,1.195081061E-1,NaN,3.616280340E-1,6.155224991E0,7.410185986E0,-1.000000000E0
6.986078167E1,4.133755440E1,1.982141139E1,1.219028397E2,1.627207883E2,3.824459244E-1,NaN,3.618492314E-1,6.155233147E0,5.876570744E0,-1.000000000E0
7.086079919E1,4.133755591E1,1.982141312E1,1.215456209E2,1.623635851E2,7.780640484E-1,NaN,3.621245142E-1,6.155241452E0,4.496717662E0,-1.000000000E0
7.186081564E1,4.133755531E1,1.982140992E1,1.212732125E2,1.620911567E2,1.713242557E-1,NaN,3.624614320E-1,6.155249676E0,3.831967843E0,-1.000000000E0
7.286083114E1,4.133755466E1,1.982140597E1,1.210523156E2,1.618702354E2,5.365623671E-1,NaN,3.626050287E-1,6.155257854E0,3.654650666E0,-1.000000000E0
7.386084700E1,4.133755401E1,1.982140746E1,1.206600059E2,1.614779312E2,2.059250042E-1,NaN,3.632728542E-1,6.155266138E0,3.113551714E0,-1.000000000E0
7.486086333E1,4.133754957E1,1.982141285E1,1.204721945E2,1.612901310E2,1.023505430E0,NaN,3.633905539E-1,6.155274444E0,3.000000000E0,-1.000000000E0
7.586087918E1,4.133755047E1,1.982141210E1,1.203792146E2,1.611971508E2,1.757538512E-1,NaN,3.636209889E-1,6.155282526E0,3.915974197E0,-1.000000000E0
7.686089420E1,4.133755032E1,1.982140935E1,1.204163686E2,1.612342890E2,1.989218675E-1,NaN,3.637995630E-1,6.155290675E0,4.202184208E0,-1.000000000E0
7.786090887E1,4.133755154E1,1.982140797E1,1.204396876E2,1.612576055E2,4.410230911E-1,NaN,3.641030799E-1,6.155298933E0,4.425069129E0,-1.000000000E0
7.886092460E1,4.133755235E1,1.982140449E1,1.200068497E2,1.608247518E2,2.198197734E-1,NaN,3.646395759E-1,6.155307241E0,4.900032128E0,-1.000000000E0
7.986093915E1,4.133755105E1,1.982141068E1,1.209182549E2,1.617361857E2,4.385527795E-2,NaN,3.648952278E-1,6.155315473E0,5.176984316E0,-1.000000000E0
8.086095428E1,4.133755317E1,1.982140951E1,1.211005271E2,1.619184602E2,3.178251435E-1,NaN,3.651996303E-1,6.155323638E0,5.554307533E0,-1.000000000E0
8.186096835E1,4.133755156E1,1.982141246E1,1.214956509E2,1.623135935E2,1.168060572E-1,NaN,3.653868803E-1,6.155331887E0,5.743250925E0,-1.000000000E0
8.286098325E1,4.133755324E1,1.982141236E1,1.215026346E2,1.623205837E2,1.827259113E-1,NaN,3.655337581E-1,6.155340102E0,5.982304656E0,-1.000000000E0
8.386099720E1,4.133755205E1,1.982141312E1,1.216712499E2,1.624891982E2,1.478386861E-1,NaN,3.656697102E-1,6.155348370E0,6.051659674E0,-1.000000000E0
8.486101174E1,4.133755302E1,1.982141213E1,1.215451354E2,1.623630823E2,1.788106915E-1,NaN,3.658046011E-1,6.155356533E0,6.267783446E0,-1.000000000E0
8.586102641E1,4.133755417E1,1.982141266E1,1.216727703E2,1.624907248E2,2.921462238E-1,NaN,3.658859503E-1,6.155364733E0,6.417590060E0,-1.000000000E0
8.686104083E1,4.133755357E1,1.982141209E1,1.216361233E2,1.624540723E2,3.033847445E-1,NaN,3.659495508E-1,6.155373027E0,6.464346452E0,-1.000000000E0
8.786105490E1,4.133755374E1,1.982141136E1,1.215483481E2,1.623662937E2,7.486937188E-2,NaN,3.659648564E-1,6.155381174E0,6.584811060E0,-1.000000000E0
8.886106884E1,4.133755383E1,1.982141150E1,1.214198833E2,1.622378301E2,9.309605971E-2,NaN,3.660776657E-1,6.155389436E0,6.722762674E0,-1.000000000E0
8.986108243E1,4.133755297E1,1.982141080E1,1.212260269E2,1.620439662E2,5.370940869E-2,NaN,3.661852194E-1,6.155397603E0,6.709691908E0,-1.000000000E0
9.086109674E1,4.133755385E1,1.982141027E1,1.212003964E2,1.620183364E2,1.157007564E-1,NaN,3.662406623E-1,6.155405707E0,6.780107002E0,-1.000000000E0
9.186111033E1,4.133755353E1,1.982140975E1,1.210470403E2,1.618649763E2,9.233378930E-2,NaN,3.663419503E-1,6.155413952E0,6.783063913E0,-1.000000000E0
9.286112320E1,4.133755357E1,1.982140854E1,1.207599383E2,1.615778677E2,2.408174137E-1,NaN,3.667162976E-1,6.155422060E0,6.751865469E0,-1.000000000E0
9.386113787E1,4.133755127E1,1.982140527E1,1.205483207E2,1.613662226E2,9.010311545E-1,2.483594301E2,3.670973723E-1,6.155430248E0,6.747386086E0,-1.000000000E0
9.486115086E1,4.133754852E1,1.982140800E1,1.201319656E2,1.609498711E2,9.981644845E-1,NaN,3.673483865E-1,6.297245587E0,5.848692289E0,-1.000000000E0
9.586116493E1,4.133754644E1,1.982140682E1,1.198063905E2,1.606242810E2,6.192305883E-1,NaN,3.676392941E-1,6.297253485E0,5.205447560E0,-1.000000000E0
