Tabela e të dhënave

### **Tabela 1 — Masa**
|  Matja  | (m) (g) |
| ------: | ------: |
|1 vizore |   43g   |
|2 vizore |   87g   |
|3 vizore |  134g   |
|4 vizore |  175g   |

### **Tabela 2 — Përmasat**
| Matja | (a) (cm) | (b) (cm) | (c) (cm) |
| ----: | -------: | -------: | -------: |
|     1 |   39.5   |    3     |   3.65   |
|     2 |   39.5   |    3     |   6.45   |
|     3 |   39.5   |    3     |  10.13   |
|     4 |   39.5   |    3     |  12.74   |
